Name,Comment,Time,Likes,Reply Count,Reply Author,Reply,Published,Updated
@hachimanhikigaya3610,"I&#39;m a tester and I was introduced to testing gen ai applications. In the process I was asked to learn about gen ai, llms, and prompt engineering. When I dive right into learning all these things i was so confused as I don&#39;t have any previous knowledge on machine learning/ai. Please guide me on what pre requisites I should have before starting these in the context of testing",2024-07-11T03:20:36Z,0,0,,,,
@shalabhshrivastava2976,"Krish, Thanks for the sharing the knowledge. It is really helpful. Could you please share which app you are using for writing the content that you are showing in the video, it is very good.",2024-06-17T19:22:04Z,0,0,,,,
@deekshitht786,❤❤,2024-06-16T10:49:08Z,0,0,,,,
@drtj2066Tube,I believe this video is what all AI beginners need to see.<br>thank you!,2024-06-14T16:01:32Z,0,0,,,,
@naveenkumardongre,"Hello krish, can you provide us some use cases of GenAI in the field of Automation testing",2024-06-06T13:56:16Z,0,0,,,,
@SajviDesigns,Thanks Krish for valuable information,2024-05-27T01:28:45Z,0,0,,,,
@ilovearr,"Sorry, completely off-topic. Which note taking app is it ?",2024-05-20T23:53:31Z,0,0,,,,
@SubashEE-PSubash,"What are those project(RAG, Q&amp;A, Fine tuning) , Can anyone explain ? Does it a web development based project ?",2024-05-19T06:25:07Z,1,0,,,,
@SubashEE-PSubash,"What are those project(RAG, Q&amp;A, Fine tuning) , Can anyone explain ?",2024-05-19T06:24:59Z,0,0,,,,
@ahr9263,"<a href=""https://www.youtube.com/watch?v=HEHUpBO8UVc&amp;t=2"">00:02</a> Prerequisites for mastering generative AI<br><a href=""https://www.youtube.com/watch?v=HEHUpBO8UVc&amp;t=112"">01:52</a> Python and statistics are essential prerequisites for mastering generative AI<br><a href=""https://www.youtube.com/watch?v=HEHUpBO8UVc&amp;t=229"">03:49</a> Understanding text embeddings is crucial for mastering generative AI<br><a href=""https://www.youtube.com/watch?v=HEHUpBO8UVc&amp;t=338"">05:38</a> Master Generative AI requires understanding key frameworks and concepts<br><a href=""https://www.youtube.com/watch?v=HEHUpBO8UVc&amp;t=458"">07:38</a> Frameworks help to work with various llm models<br><a href=""https://www.youtube.com/watch?v=HEHUpBO8UVc&amp;t=581"">09:41</a> Key things to master for Generative AI in 2024<br><a href=""https://www.youtube.com/watch?v=HEHUpBO8UVc&amp;t=686"">11:26</a> Importance of mastering LLm models and fine-tuning techniques<br><a href=""https://www.youtube.com/watch?v=HEHUpBO8UVc&amp;t=791"">13:11</a> To master generative AI, focus on completing prerequisites and implementing end-to-end projects.<br>Crafted by Merlin AI.",2024-05-17T12:04:26Z,7,0,,,,
@awakenwithoutcoffee,"fantastic lecture again Krish! God bless you all,",2024-05-13T15:21:14Z,0,0,,,,
@durgeshkumardurga2073,If i have a basic knowledge of Python then can i learn Genreative AI .I don&#39;t about ML... please suggest.. thank you,2024-05-05T16:19:07Z,0,2,,,,
,,,,,@durgeshdurga7443,Thank you 🙏,2024-06-12T17:33:26Z,2024-06-12T17:33:26Z
,,,,,@akashmetkari13,"Learn the libraries like panda, numpy, keras, sklearn etc",2024-06-12T12:57:38Z,2024-06-12T12:57:38Z
@bobbymcclane2639,"in refrence to the LLMOPS, you mentioned that there will be another video, please do add the role of plateforms like kubernative, kafka etc (cloud native technologies)",2024-04-29T20:22:47Z,0,0,,,,
@karthikreddy4210,Sir can you mention all the videos or the playlists of these topics in the description so it becomes easy for us to learn,2024-04-28T09:26:02Z,1,0,,,,
@dineshgct,Great video,2024-04-27T13:38:55Z,1,0,,,,
@user-wc6bs9kb6e,Very nicely explained and thoughful vedio for Gen AI,2024-04-26T12:07:19Z,1,0,,,,
@chrdttchavan,"If possible, please add a playlist on dashboard summarization using genAI.",2024-04-25T16:58:20Z,1,0,,,,
@tejas4054,कितना भी करो बड़ी कंपनी मे dsa ही पूछते है अगर कोडिंग से नहीं भाग सकते आजके no code ai के के लिए,2024-04-25T08:56:28Z,0,0,,,,
@titoausten,Can you do a video based on Image/Video side of generative AI?,2024-04-25T07:30:52Z,1,0,,,,
@raneshmitra8156,Deployment means with Cloud or without Cloud ☁️???,2024-04-24T16:38:53Z,2,2,,,,
,,,,,@raneshmitra8156,@@sidindian1982 Any cloud platform ?,2024-04-25T05:30:19Z,2024-04-25T05:30:19Z
,,,,,@sidindian1982,aws / Azure,2024-04-25T05:27:24Z,2024-04-25T05:27:24Z
@ashutoshsharma929,"Hello Mr. Krish,<br><br>I understand that you mentioned a need for statistics in the field of generative AI. In order to fully grasp this concept, I would like to know if it is also necessary to acquire knowledge in probability, linear algebra, and calculus.<br><br>Thank you for your time and consideration.",2024-04-24T12:07:05Z,4,1,,,,
,,,,,@Deepak-ip1se,Yes,2024-06-16T07:18:57Z,2024-06-16T07:18:57Z
@seanhallahan14,"Way to go, Krish!   You&#39;re such a helpful, giving person!  Thank you.",2024-04-24T11:28:37Z,2,0,,,,
@KA00_7,Thank you so much,2024-04-24T11:07:54Z,1,0,,,,
@leslietientcheu4025,"Hi Krish, is it possible to import my jupiter RAG notebook(using chromadb) in watsonx assistant ? Because I want to create a chatbot",2024-04-24T08:41:48Z,1,0,,,,
@abubakarsaddiq4098,"hello Sir, I&#39;m from Pakistan consider my self your student and thoroughly watching your videos. Here I wanted to make a suggestion for making a python in one video. This could be helpful for us as quick revision as well easy learning. stay blessed",2024-04-23T15:14:42Z,7,0,,,,
@shubhamsharma-01-india,thanks for bringing this video it is really helpful,2024-04-23T06:53:12Z,1,0,,,,
@uzbaig5952,"Hi sir,<br>Hope your doing well.<br>Sir, I wanted clarification, I plotted Nan and non-Nan values against median salary for multiple features and found out that in some features median salary is high for non-nan, for some median salary is high for Nan values, and for some features it&#39;s almost the same. What intuition do we get from this ? Should we consider missing values are MCAR or MNAR ?",2024-04-23T06:45:12Z,1,0,,,,
@madhavipeddireddy5304,Thank you so much sir.,2024-04-23T05:56:30Z,1,0,,,,
@jaisingh1292,"Hi Krish I would suggest for LLMops show based on Cloud platform like Azure , GCP , AWS.<br><br>Reason in industry we can use platform like Comet LLM or Gallielo or anyother platform where we need to create IDs and signup on there platform and then use there keys in our environment and our data and prompts goes to them.<br><br>I am seeing many people creating LLMops tutorial but everything is waste because in companies it wont be useable even Lang serve and Langsmith by langchain",2024-04-23T04:31:24Z,0,0,,,,
@viveksahay4679,"Sir, I am a new student of the iNeuron FSDS course. I was heartbroken and confused when I learned that Neuro lab has been discontinued. It was the backbone of the course.",2024-04-23T03:32:25Z,14,1,,,,
,,,,,@srivishal66,That&#39;s really sad,2024-07-15T09:00:15Z,2024-07-15T09:00:15Z
@ArjunLagisetty-yh3dy,Thanks!,2024-04-23T02:58:08Z,1,0,,,,
@sumanpaudel1997,"Thanks, Krish sir, I have learned so many hands on tutorial from you and created some projects (using RAG). Based on that I was hired by a very reputed company at Nepal for AI engineer role and got my salary doubled.<br>Thank you so much.",2024-04-23T02:48:52Z,34,3,,,,
,,,,,@girisantoshkumar,Bro please share your LinkedIn,2024-06-03T02:20:07Z,2024-06-03T02:20:07Z
,,,,,@shizs8956,Can you share some insights,2024-05-23T06:32:55Z,2024-05-23T06:32:55Z
,,,,,@kunalkhare8340,congrats brother,2024-05-02T16:46:42Z,2024-05-02T16:46:42Z
@nandagopal375,Thank you for providing valuable information Krish 🙏🙏🙏🙏,2024-04-23T02:08:35Z,1,0,,,,
@imtiazali-xu8gw,❤❤❤ Wonderful sir,2024-04-22T19:38:12Z,1,0,,,,
@saivinaymylavarapu3808,"please launch a dedicated course (paid) also, where we can have a option to speak with you. please let us know about the writing pad you are using.",2024-04-22T18:35:54Z,1,0,,,,
@lakshmiprasadpresident4462,I am student how can i use open ai API,2024-04-22T18:29:06Z,1,0,,,,
@jitendratiwari6886,krish you are creating a revolution in Bharat,2024-04-22T16:34:47Z,6,1,,,,
,,,,,@MrPrince750,He lost all his hair by doing it.,2024-07-20T13:29:06Z,2024-07-20T13:29:06Z
@phaniiim5207,In above life cycle you missed databases chroma db and pinecone to store data,2024-04-22T15:55:08Z,1,0,,,,
@FaryalImran-pv1nk,"<a href=""https://youtube.com/@datasciency?si=R_8-_ZX5JEAkykMu"">https://youtube.com/@datasciency?si=R_8-_ZX5JEAkykMu</a>",2024-04-22T14:12:00Z,0,0,,,,
@jw4963,"Hi Krish,<br>If i am starting from basic prerequisite, and to reach till LLM, how much time would it take me to complete LLM, by giving almost 2 hrs on a daily basis",2024-04-22T13:31:15Z,3,1,,,,
,,,,,@shoutdaola4452,2 years,2024-04-22T16:26:09Z,2024-04-22T16:26:09Z
@awaishaleem6596,Thanks. Is deep understanding ML and math behind it is necessary?,2024-04-22T12:41:04Z,3,1,,,,
,,,,,@thepresistence5935,Yeah,2024-04-22T18:23:39Z,2024-04-22T18:23:39Z
@rakeshrocky7386,"hello krish sir , I am your fan , I am pursuing executive post graduate in data sceine and AI but i am completely dependent on your videos ,i am exploring from you as well as my course syllabus.<br>you have given a proper road map and study materials in  your channels  and i took membership also its too usefull.<br>I am basically from non IT background  and trying to learn each basics which required for datascience and with your guidence i am covering almost all topics required to get good high package. <br>i think  just commenting and seeing video is not enough execution is most important .<br>i will get my  good job and i have to meet you directly because if i say thanks in comments is not worth ,your help is remarkable in people&#39;s life who are trying to get job in  data science field",2024-04-22T12:38:17Z,7,3,,,,
,,,,,@jagadeeshkrishnamurthy1971,@@rakeshrocky7386 which institute,2024-04-23T12:06:04Z,2024-04-23T12:06:04Z
,,,,,@rakeshrocky7386,@@jagadeeshkrishnamurthy1971 executive post graduate in data sceine and AI,2024-04-23T06:33:13Z,2024-06-17T23:53:52Z
,,,,,@jagadeeshkrishnamurthy1971,Wich course,2024-04-22T17:09:34Z,2024-04-22T17:09:34Z
@thesuriya_3,"sir,can you please upload a video on instruct fine tuning and diff between instruct vs fine tuning please upload an detailed video sir",2024-04-22T12:28:50Z,1,0,,,,
@kirtivardhansingh8313,Sir data analyst pe video bnahiye,2024-04-22T11:52:22Z,1,0,,,,
@RishiRajxtrim,🙏🙂👍,2024-04-22T11:41:03Z,1,0,,,,
@BharathPARUL,Sir but the python libraries which you already gave are in the old version.. how can we manage it sir??,2024-04-22T11:38:32Z,2,0,,,,
@harrytan7443,hi krisnak,2024-04-22T11:37:34Z,1,0,,,,
@ManojSharma-nd6zb,Sir muje ye Hindi me video upload karo na aur muje generative ai course karna he maatra 3 months me,2024-04-22T11:36:05Z,1,0,,,,
@Arjun-hc7ow,🎉,2024-04-22T11:35:08Z,1,0,,,,